,Ead_NNP,Ead_reg,ontop_element,ad_place_num,struct_no
0,-1.9209098815917924,-1.8552510878612718,Ir,1,8
1,-1.920902252197263,-1.943164365232934,Ir,2,8
2,-1.700612068176266,-1.7894771525306257,Ir,1,8
3,-1.7901148796081516,-1.7199948139380254,Ir,1,8
4,-2.200373172760008,-2.178434430465082,Ir,3,8
5,-2.2687554359436017,-2.140153954481581,Ir,2,8
6,-1.6763629913330034,-1.718201429633961,Ir,1,8
7,-1.494938373565673,-1.5119805928449106,Ir,1,8
8,-1.8233304023742667,-1.7303296979267877,Ir,1,8
9,-1.6261281967163077,-1.60084939839964,Ir,1,8
10,-2.144359588623046,-2.0896004865643736,Ir,3,8
11,-1.7637686729431143,-1.7015634152106998,Ir,1,8
12,-1.8626341819763184,-1.8657836848887646,Ir,2,8
13,-2.017905235290522,-2.0598025274080416,Ir,3,8
14,-1.844765186309816,-1.8708790521458076,Ir,2,8
15,-1.8512587547302264,-1.8174461105161284,Ir,1,8
16,-1.7981109619140598,-1.8443439127072114,Ir,2,8
17,-1.531976222991947,-1.5636184926129517,Ir,1,8
18,-1.911102771759032,-1.9806157319827318,Ir,3,8
19,-1.884260654449464,-1.82605301363069,Ir,1,8
20,-1.8513255119323668,-1.849562895760072,Ir,1,8
21,-2.293861865997308,-2.338417294282588,Ir,3,8
22,-1.9288330078125,-1.940860515973467,Ir,2,8
23,-2.046904563903809,-1.9407647206500078,Ir,1,8
24,-1.2501235008239684,-1.2491414227361906,Pd,2,8
25,-1.2253184318542454,-1.1900720931317634,Pd,2,8
26,-1.3797893524169886,-1.3150961460614567,Pd,3,8
27,-0.8550372123718253,-0.8827789537395777,Pd,1,8
28,-0.9097771644592224,-0.9582330632773667,Pd,1,8
29,-0.9254322052001918,-0.9472798154201689,Pd,1,8
30,-0.9621677398681588,-0.9743409832285547,Pd,1,8
31,-0.8677868843078542,-0.9371602268046971,Pd,1,8
32,-1.181132793426512,-1.139280709156273,Pd,2,8
33,-1.2536344528198209,-1.3208477615431005,Pd,3,8
34,-1.1550164222717267,-1.176698091331089,Pd,2,8
35,-1.360975742340086,-1.382033814881129,Pd,3,8
36,-1.1068382263183532,-1.147250008973898,Pd,2,8
37,-1.2307839393615705,-1.215091894302213,Pd,2,8
38,-1.3122296333312988,-1.3511307463252793,Pd,3,8
39,-1.2283444404602042,-1.2330994220171128,Pd,2,8
40,-1.3753499984741175,-1.388624111672516,Pd,3,8
41,-1.1727752685546848,-1.1678999108007375,Pd,2,8
42,-0.8772425651550275,-0.9393053462156504,Pd,1,8
43,-1.2548956871032706,-1.203866271986149,Pd,2,8
44,-1.524812221527097,-1.442257317122975,Pd,3,8
45,-1.332487106323243,-1.323566425135037,Pd,3,8
46,-1.522275924682612,-1.4761103746852018,Pt,2,8
47,-1.2522830963134712,-1.1948045827602383,Pt,1,8
48,-1.582791328430169,-1.5923803110361445,Pt,2,8
49,-1.3673200607299778,-1.3389711912496431,Pt,2,8
50,-1.7487792968749982,-1.7254013896609903,Pt,3,8
51,-1.140766620635982,-1.1313015637394457,Pt,1,8
52,-1.0368075370788512,-1.087040440245169,Pt,1,8
53,-1.358465194702144,-1.3853623119647256,Pt,2,8
54,-1.5693097114562962,-1.5752293409689222,Pt,3,8
55,-1.6332688331603986,-1.537259401987414,Pt,2,8
56,-1.4870948791503906,-1.479554786230715,Pt,2,8
57,-1.3187747001647931,-1.3051445829474324,Pt,1,8
58,-1.6640453338623002,-1.609349570090117,Pt,3,8
59,-1.165621757507318,-1.1830551989941211,Pt,1,8
60,-1.2582011222839349,-1.2234015086191192,Pt,1,8
61,-1.4768776893615714,-1.5079220909969788,Pt,2,8
62,-1.2356505393981942,-1.1729828931846114,Pt,1,8
63,-1.081565380096431,-1.0970319111519098,Pt,1,8
64,-1.18652009963989,-1.2219645299357274,Pt,1,8
65,-1.1562905311584455,-1.1671023698075051,Pt,1,8
66,-1.1309270858764648,-1.193712105400848,Pt,1,8
67,-1.3419961929321227,-1.4389010494474144,Pt,2,8
68,-1.0939331054687509,-1.1982801551086617,Pt,1,8
69,-1.4891395568847638,-1.4794486686192192,Pt,2,8
70,-1.41621923446655,-1.370482010872238,Rh,1,8
71,-1.6250801086425737,-1.6049071755523199,Rh,2,8
72,-1.8670954704284608,-1.7761245239622443,Rh,3,8
73,-1.5735511779785147,-1.511221149859349,Rh,1,8
74,-1.534751892089842,-1.5677654947914414,Rh,2,8
75,-1.6519031524658132,-1.656536501797223,Rh,3,8
76,-1.4942784309387154,-1.521487876075764,Rh,1,8
77,-1.7309432029724086,-1.78634928002549,Rh,3,8
78,-1.5714430809020952,-1.6224449428462242,Rh,2,8
79,-1.5559649467468226,-1.5596003872791833,Rh,2,8
80,-1.4192366600036568,-1.367576292400813,Rh,1,8
81,-1.43540239334106,-1.3739580149115058,Rh,1,8
82,-1.283756256103513,-1.2930060501370013,Rh,1,8
83,-1.597518920898434,-1.5520751655980582,Rh,2,8
84,-1.5682516098022434,-1.5159336513286166,Rh,1,8
85,-1.5532555580139116,-1.4962016852289532,Rh,1,8
86,-1.27016019821167,-1.2930731033605727,Rh,1,8
