,Ead_NNP,Ead_reg,ontop_element,ad_place_num
0,-1.8430657386779803,-1.8018529242267483,Ir,1
1,-1.895982742309572,-2.042806557147013,Ir,2
2,-1.6308631896972638,-1.6991142172949327,Ir,1
3,-2.1443185806274423,-2.292765691827808,Ir,3
4,-2.034860610961913,-2.125082919691919,Ir,2
5,-1.9297161102294915,-2.0096996343183244,Ir,2
6,-1.552405834197998,-1.6724011889535484,Ir,1
7,-1.7801690101623526,-1.7941295537252278,Ir,1
8,-2.175894260406494,-2.171281108435422,Ir,2
9,-1.9645457267761224,-2.1317617649108698,Ir,3
10,-1.8008651733398482,-1.8885008838579935,Ir,2
11,-1.791938781738284,-1.8299898240259593,Ir,1
12,-1.7420396804809553,-1.8064880051681496,Ir,1
13,-1.9565997123718244,-2.222898066149056,Ir,3
14,-1.989235401153561,-2.0537778954824235,Ir,2
15,-1.84804821014404,-1.8263528058123284,Ir,1
16,-1.680762767791748,-1.7579528675449791,Ir,1
17,-1.6808648109436026,-1.7235317601758058,Ir,1
18,-2.153528213500974,-2.30006766460131,Ir,3
19,-1.6953954696655238,-1.6917249066810807,Ir,1
20,-1.9514899253845208,-1.9836220843371972,Ir,2
21,-2.104555606842042,-2.2232821173931536,Ir,3
22,-2.1459436416625968,-2.3319527398655064,Ir,3
23,-2.007418155670164,-2.0639546653174117,Ir,2
24,-2.1066689491271937,-2.1669495044342266,Ir,2
25,-1.9842987060546824,-2.0914172699384324,Ir,2
26,-1.8170003890991184,-1.8716179205914192,Ir,1
27,-1.3185653686523438,-1.4707014491471475,Pd,2
28,-0.9045019149780248,-1.2205865299873844,Pd,1
29,-0.9507093429565412,-1.2083466089910508,Pd,1
30,-1.009107589721678,-1.234553760772395,Pd,1
31,-1.2317495346069336,-1.3558236393023873,Pd,2
32,-1.123755931854248,-1.3453080596417806,Pd,2
33,-0.906509876251218,-1.1852906349299697,Pd,1
34,-0.9461941719055148,-1.2188249180757322,Pd,1
35,-1.1773018836975115,-1.3563292657881694,Pd,2
36,-1.19391059875488,-1.4106140245373364,Pd,2
37,-0.847873687744138,-1.1940726380678943,Pd,1
38,-0.9054341316223118,-1.1939750089486565,Pd,1
39,-1.2036728858947745,-1.3999830050397932,Pd,3
40,-0.9441294670104964,-1.196516334501789,Pd,1
41,-1.1380314826965323,-1.3668177995441217,Pd,2
42,-1.3753581047058097,-1.5474709196786123,Pd,3
43,-1.087576389312745,-1.2883111243808147,Pd,2
44,-0.8889493942260724,-1.1851778337178773,Pd,1
45,-0.9432272911071742,-1.208582436086507,Pd,1
46,-1.384816169738765,-1.4822355379976404,Pd,2
47,-0.8449354171752903,-1.1873777871817832,Pd,1
48,-0.9810423851013176,-1.1997944960426827,Pd,1
49,-1.1991400718688938,-1.383258411292526,Pd,2
50,-1.034073352813719,-1.2444350809860616,Pd,1
51,-0.9012565612792932,-1.181359083912015,Pd,1
52,-0.9968223571777316,-1.2363523134318672,Pd,1
53,-1.38207721710205,-1.5440641251765608,Pd,3
54,-1.2126159667968714,-1.0849120684714713,Pt,1
55,-1.6769289970397925,-1.5645034928771,Pt,3
56,-1.446575164794922,-1.2366538631856605,Pt,2
57,-1.6095070838928225,-1.472868982025187,Pt,3
58,-1.2445325851440412,-1.0507600433659285,Pt,1
59,-1.476383686065672,-1.304363304170654,Pt,3
60,-1.2352700233459446,-1.0454764848664426,Pt,1
61,-1.1753211021423322,-1.0483411751905185,Pt,1
62,-1.5634169578552246,-1.3930873025913124,Pt,3
63,-1.5047626495361328,-1.317100771799044,Pt,2
64,-1.4316124916076696,-1.2200048048550698,Pt,2
65,-1.69065523147583,-1.527006453947528,Pt,3
66,-1.3670582771301252,-1.132955739222688,Pt,2
67,-1.535181522369384,-1.4336398674442683,Pt,3
68,-1.145103454589841,-1.0448484524562907,Pt,1
69,-1.2133193016052255,-1.064521769860661,Pt,1
70,-1.1574106216430655,-0.984702354573815,Pt,1
71,-1.1503825187683088,-0.983839281708019,Pt,1
72,-1.2340316772460929,-1.0035276934535777,Pt,1
73,-1.320532798767088,-1.119660859137562,Pt,1
74,-1.1698002815246582,-0.9569427829614784,Pt,1
75,-1.5306220054626447,-1.4276889234308183,Pt,2
76,-1.7023105621337864,-1.6302813972736168,Pt,3
77,-1.6739368438720703,-1.5159042399377878,Rh,2
78,-1.6409945487976063,-1.5621389834469845,Rh,3
79,-1.2806239128112784,-1.3623653638302295,Rh,1
80,-1.5271787643432564,-1.4388059654181224,Rh,1
81,-1.7556848526000983,-1.636871906150013,Rh,3
82,-1.5344362258911124,-1.435528744194485,Rh,1
