,ads_id,Ead_NNP_direct,Ead_NNP_predict,Ead_vasp_direct,Ead_vasp_predict,Ead_NNP_direct_x,Ead_NNP_predict_x,Ead_vasp_direct_x,Ead_vasp_predict_x,ontop_element,site_info
0,129,-1.138031483,-1.3668178,-1.548576,-1.435833093,1,2.2,3.4,4.6,Pd,edge
1,142,-1.469753265,-1.492654829,-2.046076,-1.957071482,7.1,8.3,9.5,10.7,Rh,edge
2,143,-1.34877634,-1.382874331,-1.830176,-1.871115609,1,2.2,3.4,4.6,Rh,facet
3,144,-1.806414127,-1.68135202,-1.920176,-2.047621504,7.1,8.3,9.5,10.7,Ru,facet
4,145,-2.468474865,-2.4134975,-2.477076,-2.105945225,1,2.2,3.4,4.6,Ru,corner
5,149,-1.087576389,-1.288311124,-2.000376,-1.385202053,13.2,14.4,15.6,16.8,Pd,edge
6,150,-1.644659042,-1.55674451,-1.968976,-2.007252385,7.1,8.3,9.5,10.7,Rh,corner
7,179,-1.69539547,-1.691724907,-2.180976,-2.198722068,13.2,14.4,15.6,16.8,Ir,facet
8,180,-1.951489925,-1.983622084,-2.051976,-2.501097108,19.3,20.5,21.7,22.9,Ir,edge
9,181,-0.901256561,-1.181359084,-1.590776,-1.31622584,19.3,20.5,21.7,22.9,Pd,facet
10,182,-2.104555607,-2.223282117,-2.562376,-2.749359914,13.2,14.4,15.6,16.8,Ir,corner
11,187,-1.169800282,-0.956942783,-1.638276,-1.496593956,25.4,26.6,27.8,29,Pt,facet
12,188,-0.996822357,-1.236352313,-1.282076,-1.351692435,31.5,32.7,33.9,35.1,Pd,facet
13,189,-1.530622005,-1.427688923,-1.886476,-1.943195782,25.4,26.6,27.8,29,Pt,edge
14,190,-1.809776783,-1.675952599,-1.814976,-2.047191379,37.6,38.8,40,41.2,Ru,facet
15,191,-2.145943642,-2.33195274,-2.610576,-2.861931348,19.3,20.5,21.7,22.9,Ir,corner
16,198,-1.775658607,-1.583242968,-2.161676,-2.028000133,31.5,32.7,33.9,35.1,Rh,edge
17,199,-1.702310562,-1.630281397,-2.109176,-2.135397397,25.4,26.6,27.8,29,Pt,corner
18,200,-1.764523506,-1.657457195,-2.196476,-2.086108347,31.5,32.7,33.9,35.1,Rh,corner
