,Ead_NNP,Ead_reg,ontop_element,ad_place_num,struct_no
0,-1.9209098815917924,-1.8571638018965757,Ir,1,8
1,-1.920902252197263,-1.9448755036499392,Ir,2,8
2,-1.700612068176266,-1.7860774259578989,Ir,1,8
3,-1.7901148796081516,-1.7165042188637614,Ir,1,8
4,-2.200373172760008,-2.182909697519136,Ir,3,8
5,-2.2687554359436017,-2.1404747338756067,Ir,2,8
6,-1.6763629913330034,-1.7148073748616497,Ir,1,8
7,-1.494938373565673,-1.5045455757645243,Ir,1,8
8,-1.8233304023742667,-1.7263663937977611,Ir,1,8
9,-1.6261281967163077,-1.6077684714190212,Ir,1,8
10,-2.144359588623046,-2.0869382441906055,Ir,3,8
11,-1.7637686729431143,-1.699247314637475,Ir,1,8
12,-1.8626341819763184,-1.8682831231302828,Ir,2,8
13,-2.017905235290522,-2.0571873450735154,Ir,3,8
14,-1.844765186309816,-1.8735910367634574,Ir,2,8
15,-1.8512587547302264,-1.8161944581958096,Ir,1,8
16,-1.7981109619140598,-1.8454644504444389,Ir,2,8
17,-1.531976222991947,-1.57148437271222,Ir,1,8
18,-1.911102771759032,-1.9806372228350142,Ir,3,8
19,-1.884260654449464,-1.8255807648620248,Ir,1,8
20,-1.8513255119323668,-1.851083121232989,Ir,1,8
21,-2.293861865997308,-2.327013698413964,Ir,3,8
22,-1.9288330078125,-1.9426706253811403,Ir,2,8
23,-2.046904563903809,-1.9425789115783516,Ir,1,8
24,-1.2501235008239684,-1.2570690086857879,Pd,2,8
25,-1.2253184318542454,-1.1975612051750508,Pd,2,8
26,-1.3797893524169886,-1.3118097091778846,Pd,3,8
27,-0.8550372123718253,-0.8745974185556504,Pd,1,8
28,-0.9097771644592224,-0.9694469842393141,Pd,1,8
29,-0.9254322052001918,-0.9562968873807643,Pd,1,8
30,-0.9621677398681588,-0.9856047409449326,Pd,1,8
31,-0.8677868843078542,-0.9416734728961025,Pd,1,8
32,-1.181132793426512,-1.124713151769464,Pd,2,8
33,-1.2536344528198209,-1.316588337179282,Pd,3,8
34,-1.1550164222717267,-1.1796231082777187,Pd,2,8
35,-1.360975742340086,-1.3714774258506397,Pd,3,8
36,-1.1068382263183532,-1.1354886217191384,Pd,2,8
37,-1.2307839393615705,-1.2255422983708903,Pd,2,8
38,-1.3122296333312988,-1.3424795381887806,Pd,3,8
39,-1.2283444404602042,-1.2428131918462721,Pd,2,8
40,-1.3753499984741175,-1.3784045664781255,Pd,3,8
41,-1.1727752685546848,-1.1665901837222878,Pd,2,8
42,-0.8772425651550275,-0.9450103533445855,Pd,1,8
43,-1.2548956871032706,-1.2137239480072008,Pd,2,8
44,-1.524812221527097,-1.468726969601232,Pd,3,8
45,-1.332487106323243,-1.3188583210961438,Pd,3,8
46,-1.522275924682612,-1.4729382299975304,Pt,2,8
47,-1.2522830963134712,-1.2028133302073332,Pt,1,8
48,-1.582791328430169,-1.595794765406116,Pt,2,8
49,-1.3673200607299778,-1.3237410306284954,Pt,2,8
50,-1.7487792968749982,-1.725475667075297,Pt,3,8
51,-1.140766620635982,-1.1422320055411987,Pt,1,8
52,-1.0368075370788512,-1.0935144416908857,Pt,1,8
53,-1.358465194702144,-1.3693339994465623,Pt,2,8
54,-1.5693097114562962,-1.5792954122270788,Pt,3,8
55,-1.6332688331603986,-1.5409913843408762,Pt,2,8
56,-1.4870948791503906,-1.4769557271407823,Pt,2,8
57,-1.3187747001647931,-1.2937415343919438,Pt,1,8
58,-1.6640453338623002,-1.6117786948906954,Pt,3,8
59,-1.165621757507318,-1.1926341188920826,Pt,1,8
60,-1.2582011222839349,-1.2266178741769316,Pt,1,8
61,-1.4768776893615714,-1.5093069927633427,Pt,2,8
62,-1.2356505393981942,-1.1836284162154556,Pt,1,8
63,-1.081565380096431,-1.1038483506552887,Pt,1,8
64,-1.18652009963989,-1.2254434381578345,Pt,1,8
65,-1.1562905311584455,-1.1782252355515204,Pt,1,8
66,-1.1309270858764648,-1.201879402685,Pt,1,8
67,-1.3419961929321227,-1.42915618448163,Pt,2,8
