,Ead_NNP,Ead_reg,ontop_element,ad_place_num,struct_no
0,-1.9209098815917924,-1.8572122584757267,Ir,1,8
1,-1.920902252197263,-1.9440167003963893,Ir,2,8
2,-1.700612068176266,-1.7869392846947676,Ir,1,8
3,-1.7901148796081516,-1.7167470066457184,Ir,1,8
4,-2.200373172760008,-2.1817341284781264,Ir,3,8
5,-2.2687554359436017,-2.140120071242876,Ir,2,8
6,-1.6763629913330034,-1.715026880802725,Ir,1,8
7,-1.494938373565673,-1.5055179547318147,Ir,1,8
8,-1.8233304023742667,-1.726741258682921,Ir,1,8
9,-1.6261281967163077,-1.6069296055085829,Ir,1,8
10,-2.144359588623046,-2.0878598373957686,Ir,3,8
11,-1.7637686729431143,-1.6992500563157478,Ir,1,8
12,-1.8626341819763184,-1.868091248009506,Ir,2,8
13,-2.017905235290522,-2.0582186528269517,Ir,3,8
14,-1.844765186309816,-1.8732856033464316,Ir,2,8
15,-1.8512587547302264,-1.816922841660471,Ir,1,8
16,-1.7981109619140598,-1.845752730836665,Ir,2,8
17,-1.531976222991947,-1.5708173352908688,Ir,1,8
18,-1.911102771759032,-1.9803476612310078,Ir,3,8
19,-1.884260654449464,-1.826199314958103,Ir,1,8
20,-1.8513255119323668,-1.8512590899456995,Ir,1,8
21,-2.293861865997308,-2.3288913953057317,Ir,3,8
22,-1.9288330078125,-1.9417921138448833,Ir,2,8
23,-2.046904563903809,-1.941699628666953,Ir,1,8
24,-1.2501235008239684,-1.2567825065262934,Pd,2,8
25,-1.2253184318542454,-1.1973004069734234,Pd,2,8
26,-1.3797893524169886,-1.3118803816954407,Pd,3,8
27,-0.8550372123718253,-0.8744095512323863,Pd,1,8
28,-0.9097771644592224,-0.9694821757671485,Pd,1,8
29,-0.9254322052001918,-0.9562811529880949,Pd,1,8
30,-0.9621677398681588,-0.985705068060823,Pd,1,8
31,-0.8677868843078542,-0.9416056837455247,Pd,1,8
32,-1.181132793426512,-1.1249037949890195,Pd,2,8
33,-1.2536344528198209,-1.3166967751318335,Pd,3,8
34,-1.1550164222717267,-1.1794607527058427,Pd,2,8
35,-1.360975742340086,-1.371887098726895,Pd,3,8
36,-1.1068382263183532,-1.1356184142387782,Pd,2,8
37,-1.2307839393615705,-1.225204265046213,Pd,2,8
38,-1.3122296333312988,-1.3427759966218764,Pd,3,8
39,-1.2283444404602042,-1.2424851388259595,Pd,2,8
40,-1.3753499984741175,-1.3788133859156677,Pd,3,8
41,-1.1727752685546848,-1.1665132806457585,Pd,2,8
42,-0.8772425651550275,-0.9449539039340055,Pd,1,8
43,-1.2548956871032706,-1.2134051618488615,Pd,2,8
44,-1.524812221527097,-1.4655767425395039,Pd,3,8
45,-1.332487106323243,-1.3189845867041095,Pd,3,8
46,-1.522275924682612,-1.47373924387571,Pt,2,8
47,-1.2522830963134712,-1.2025904318767127,Pt,1,8
48,-1.582791328430169,-1.5963250879932136,Pt,2,8
49,-1.3673200607299778,-1.3241520925592722,Pt,2,8
50,-1.7487792968749982,-1.7247756562457803,Pt,3,8
51,-1.140766620635982,-1.1416442286666306,Pt,1,8
52,-1.0368075370788512,-1.0926278791948114,Pt,1,8
53,-1.358465194702144,-1.3699243537990708,Pt,2,8
54,-1.5693097114562962,-1.5799043172457743,Pt,3,8
55,-1.6332688331603986,-1.5417281530408211,Pt,2,8
56,-1.4870948791503906,-1.4777580493729268,Pt,2,8
57,-1.3187747001647931,-1.2940133598598786,Pt,1,8
58,-1.6640453338623002,-1.61221824443672,Pt,3,8
59,-1.165621757507318,-1.1923511264451208,Pt,1,8
60,-1.2582011222839349,-1.226532619394211,Pt,1,8
61,-1.4768776893615714,-1.5100974543648094,Pt,2,8
62,-1.2356505393981942,-1.1832917478064962,Pt,1,8
63,-1.081565380096431,-1.1030250393329288,Pt,1,8
64,-1.18652009963989,-1.2253515001922668,Pt,1,8
65,-1.1562905311584455,-1.1778561605227582,Pt,1,8
66,-1.1309270858764648,-1.2016510185435985,Pt,1,8
67,-1.3419961929321227,-1.429907027292703,Pt,2,8
68,-1.0939331054687509,-1.2055638880548212,Pt,1,8
69,-1.4891395568847638,-1.4776344675451074,Pt,2,8
70,-1.41621923446655,-1.3788227498394854,Rh,1,8
71,-1.6250801086425737,-1.6184363317457766,Rh,2,8
72,-1.8670954704284608,-1.8454522747443243,Rh,3,8
73,-1.5735511779785147,-1.4996404229531155,Rh,1,8
74,-1.534751892089842,-1.5825449603159716,Rh,2,8
75,-1.6519031524658132,-1.657388944206141,Rh,3,8
