,Ead_NNP,Ead_reg,ontop_element,ad_place_num,struct_no
0,-1.9209098815917924,-1.8550531430452932,Ir,1,8
1,-1.920902252197263,-1.9439166894155933,Ir,2,8
2,-1.700612068176266,-1.788827588081654,Ir,1,8
3,-1.7901148796081516,-1.7202135566231893,Ir,1,8
4,-2.200373172760008,-2.179655240671549,Ir,3,8
5,-2.2687554359436017,-2.1405912220596126,Ir,2,8
6,-1.6763629913330034,-1.7184408704328953,Ir,1,8
7,-1.494938373565673,-1.512414602634476,Ir,1,8
8,-1.8233304023742667,-1.730420462429591,Ir,1,8
9,-1.6261281967163077,-1.6008351702036028,Ir,1,8
10,-2.144359588623046,-2.088708400895653,Ir,3,8
11,-1.7637686729431143,-1.7019681190028324,Ir,1,8
12,-1.8626341819763184,-1.8658012950435474,Ir,2,8
13,-2.017905235290522,-2.058845665089549,Ir,3,8
14,-1.844765186309816,-1.871001891795103,Ir,2,8
15,-1.8512587547302264,-1.8167436390343847,Ir,1,8
16,-1.7981109619140598,-1.8439431007873077,Ir,2,8
17,-1.531976222991947,-1.5629789385059276,Ir,1,8
18,-1.911102771759032,-1.980909942617663,Ir,3,8
19,-1.884260654449464,-1.8254095150184766,Ir,1,8
20,-1.8513255119323668,-1.8492552513289648,Ir,1,8
21,-2.293861865997308,-2.336829629627952,Ir,3,8
22,-1.9288330078125,-1.9416261683677278,Ir,2,8
23,-2.046904563903809,-1.9415308822017017,Ir,1,8
24,-1.2501235008239684,-1.2493068135453673,Pd,2,8
25,-1.2253184318542454,-1.189499905022691,Pd,2,8
26,-1.3797893524169886,-1.3159122327467958,Pd,3,8
27,-0.8550372123718253,-0.8826649264154444,Pd,1,8
28,-0.9097771644592224,-0.9578535549347522,Pd,1,8
29,-0.9254322052001918,-0.9470077655029692,Pd,1,8
30,-0.9621677398681588,-0.9739400182722943,Pd,1,8
31,-0.8677868843078542,-0.9370910471138699,Pd,1,8
32,-1.181132793426512,-1.1396745812996876,Pd,2,8
33,-1.2536344528198209,-1.3216332228569327,Pd,3,8
34,-1.1550164222717267,-1.1762356625729138,Pd,2,8
35,-1.360975742340086,-1.3812154877867333,Pd,3,8
36,-1.1068382263183532,-1.1474817089506602,Pd,2,8
37,-1.2307839393615705,-1.2146910886778,Pd,2,8
38,-1.3122296333312988,-1.3514007062465712,Pd,3,8
39,-1.2283444404602042,-1.2329806732290944,Pd,2,8
40,-1.3753499984741175,-1.387572703840565,Pd,3,8
41,-1.1727752685546848,-1.16760621555887,Pd,2,8
42,-0.8772425651550275,-0.9391835569235044,Pd,1,8
43,-1.2548956871032706,-1.2033429429427112,Pd,2,8
44,-1.524812221527097,-1.4416615051746995,Pd,3,8
45,-1.332487106323243,-1.3243304445865927,Pd,3,8
46,-1.522275924682612,-1.476680634275577,Pt,2,8
47,-1.2522830963134712,-1.195197328485791,Pt,1,8
48,-1.582791328430169,-1.5924038133736516,Pt,2,8
49,-1.3673200607299778,-1.3384689561561587,Pt,2,8
50,-1.7487792968749982,-1.7249841217250619,Pt,3,8
51,-1.140766620635982,-1.1311275881848517,Pt,1,8
52,-1.0368075370788512,-1.086798839174394,Pt,1,8
53,-1.358465194702144,-1.384977893499508,Pt,2,8
54,-1.5693097114562962,-1.575449300404084,Pt,3,8
55,-1.6332688331603986,-1.5378276703459461,Pt,2,8
56,-1.4870948791503906,-1.4801480008581056,Pt,2,8
57,-1.3187747001647931,-1.3047959584360203,Pt,1,8
58,-1.6640453338623002,-1.6091749776961366,Pt,3,8
59,-1.165621757507318,-1.183432356553516,Pt,1,8
60,-1.2582011222839349,-1.2237011877622506,Pt,1,8
61,-1.4768776893615714,-1.5085982922598162,Pt,2,8
62,-1.2356505393981942,-1.1733151276862177,Pt,1,8
63,-1.081565380096431,-1.0966239218034126,Pt,1,8
64,-1.18652009963989,-1.2222723710454797,Pt,1,8
65,-1.1562905311584455,-1.1673936932412472,Pt,1,8
66,-1.1309270858764648,-1.194104938055564,Pt,1,8
67,-1.3419961929321227,-1.4390918325266764,Pt,2,8
68,-1.0939331054687509,-1.1986706763245119,Pt,1,8
69,-1.4891395568847638,-1.4800412154332552,Pt,2,8
70,-1.41621923446655,-1.3708463229789198,Rh,1,8
71,-1.6250801086425737,-1.6047445172793846,Rh,2,8
72,-1.8670954704284608,-1.7803169241107544,Rh,3,8
73,-1.5735511779785147,-1.511133498168551,Rh,1,8
74,-1.534751892089842,-1.5677637656108139,Rh,2,8
75,-1.6519031524658132,-1.656634561123391,Rh,3,8
76,-1.4942784309387154,-1.521515109159035,Rh,1,8
77,-1.7309432029724086,-1.7858454458034434,Rh,3,8
