,Ead_NNP,Ead_reg,ontop_element,site_info
0,-1.9806528091430664,-2.0234072642512317,Ir,corner
1,-1.8219575881958,-1.7894750643748598,Ir,edge
2,-1.4692420959472638,-1.4980525105380191,Ir,middle_facet
3,-1.9806475639343244,-2.0234072642512317,Ir,corner
4,-1.8746829032897927,-1.8234256648599931,Ir,edge1
5,-1.8306894302368164,-1.7991316300361806,Ir,edge2
6,-2.0012869834899902,-2.0268234382961663,Ir,corner
7,-1.6864047050476074,-1.6487023453380467,Ir,facet
8,-1.8746600151062007,-1.8234256648599931,Ir,edge
9,-1.467400074005126,-1.4932962740739775,Ir,middle_facet
10,-1.3952112197875977,-1.4836773489633799,Ir,facet
11,-2.001287937164306,-2.026823144229364,Ir,corner
12,-1.8692235946655265,-1.81619926725474,Ir,edge
13,-2.0044913291931152,-2.024569416254811,Ir,corner
14,-1.675921440124509,-1.6476948724725955,Ir,facet
15,-2.0044870376586914,-2.024569416254811,Ir,corner
16,-1.48756742477417,-1.4950612630227333,Ir,middle_facet
17,-1.8692135810852035,-1.81619926725474,Ir,edge
18,-1.987671375274661,-2.0211823548233268,Ir,corner
19,-1.987674236297612,-2.0211823548233268,Ir,corner
20,-1.542381286621099,-1.504084408791415,Ir,facet
21,-1.8162574768066413,-1.8187179255598818,Pd,corner
22,-1.4091248512268075,-1.4133133377530196,Pd,middle_facet
23,-1.6531319618225109,-1.6438598852396087,Pd,edge
24,-1.510097026824952,-1.4870279403710365,Pd,facet
25,-1.653128623962404,-1.6438602150677142,Pd,edge
26,-1.8162603378295907,-1.8187182553879875,Pd,corner
27,-1.654752254486081,-1.6432942300386193,Pd,edge1
28,-1.4120507240295392,-1.414080847754595,Pd,middle_facet
29,-1.6547451019287092,-1.643294559866725,Pd,edge
30,-1.4133706092834526,-1.4206602588037696,Pd,facet
31,-1.6750478744506925,-1.6701910523886334,Pd,edge2
32,-1.819650173187256,-1.8179685561041106,Pd,corner
33,-1.5090885162353525,-1.486882816004602,Pd,facet
34,-1.819648265838623,-1.8179685561041106,Pd,corner
35,-1.7965369224548366,-1.8058331906172307,Pd,corner
36,-1.6662025451660218,-1.6659161503128188,Pd,edge
37,-1.3971190452575728,-1.4124218123837635,Pd,middle_facet
38,-1.796533107757572,-1.8058335204453364,Pd,corner
39,-1.7942595481872583,-1.808204654696014,Pd,corner
40,-1.7942619323730478,-1.808204654696014,Pd,corner
41,-1.3902058601379403,-1.4085215950358345,Pd,facet
42,-1.3933658599853542,-1.3184269174891505,Pt,facet
43,-1.1890945434570304,-1.2281304121668493,Pt,middle_facet
44,-1.524114131927493,-1.4773757210370941,Pt,edge
45,-1.7212257385253895,-1.7387558020554286,Pt,corner
46,-1.7212243080139178,-1.7387558020554286,Pt,corner
47,-1.5241174697875968,-1.4773751819534802,Pt,edge
48,-1.4786090850830125,-1.4721520008187472,Pt,edge
49,-1.7188854217529317,-1.7338307341591626,Pt,corner
50,-1.188298702239992,-1.230195641491564,Pt,middle_facet
51,-1.7188835144042989,-1.7338296559919348,Pt,corner
52,-1.4838452339172346,-1.4839611664640626,Pt,edge2
53,-1.723090171813964,-1.7357401683194706,Pt,corner
54,-1.1947712898254403,-1.2194463142311063,Pt,middle_facet
55,-1.396845817565918,-1.3185352732955373,Pt,facet
56,-1.526351451873781,-1.4811579316719672,Pt,edge
57,-1.5263433456420907,-1.4811573925883534,Pt,edge1
58,-1.2123713493347168,-1.1967196272378073,Pt,facet
59,-1.7231016159057608,-1.7357417855703123,Pt,corner
60,-1.1714310646057084,-1.26456707362795,Pt,facet
61,-1.7107739448547337,-1.7340706263673322,Pt,corner
62,-1.7107782363891575,-1.7340706263673322,Pt,corner
63,-1.5590882301330655,-1.46711260367818,Rh,facet
64,-1.584650039672856,-1.5462877622196,Rh,edge
65,-1.3730726242065483,-1.4060232405070083,Rh,middle_facet
66,-1.62744522094727,-1.6428981918183194,Rh,corner
67,-1.5846538543701234,-1.5462877622196,Rh,edge
68,-1.6274566650390652,-1.6428981918183194,Rh,corner
69,-1.5360245704650897,-1.5452190437054698,Rh,edge
70,-1.3730134963989258,-1.406914715325012,Rh,middle_facet
71,-1.6252870559692392,-1.6460486301845851,Rh,corner
72,-1.6252822875976562,-1.6460486301845851,Rh,corner
73,-1.6041302680969238,-1.646678970162032,Rh,corner
74,-1.6041250228881836,-1.6466793906690216,Rh,corner
75,-1.3406772613525373,-1.4223460603232567,Rh,facet
76,-1.3786487579345712,-1.4011411543574697,Rh,middle_facet
77,-1.5842490196228065,-1.5464622726202941,Rh,edge
78,-1.3986144065856925,-1.391387704986628,Rh,facet
79,-1.6487469673156756,-1.642241359900526,Rh,corner
80,-1.5335526466369682,-1.546211650454478,Rh,edge2
81,-1.5842552185058612,-1.5464618521133044,Rh,edge1
82,-1.648732185363773,-1.642241359900526,Rh,corner
83,-1.5565199851989782,-1.4667595880603903,Rh,facet
84,-1.868415355682374,-1.8550373384471934,Ru,corner
85,-1.522452354431148,-1.5124383520719975,Ru,middle_facet
86,-1.868423461914068,-1.8550373384471934,Ru,corner
87,-1.7574419975280788,-1.7198101261045866,Ru,edge1
88,-1.491859912872303,-1.4955130915178336,Ru,facet
89,-1.757456779479976,-1.7198101261045866,Ru,edge
90,-1.7717852592468262,-1.7570220228215787,Ru,edge2
91,-1.5211648941040083,-1.6147542439732014,Ru,facet
92,-1.5237436294555664,-1.5212644805151485,Ru,middle_facet
93,-1.8325166702270543,-1.8479122831784986,Ru,corner
94,-1.7848381996154856,-1.7549967485800875,Ru,edge
95,-1.8325104713440004,-1.8479122831784986,Ru,corner
96,-1.8313970565796,-1.864476501635283,Ru,corner
97,-1.8313889503479104,-1.8644769928490208,Ru,corner
98,-1.578528404235855,-1.5501399888857073,Ru,facet
99,-1.861380577087408,-1.868870408521079,Ru,corner
100,-1.8613791465759348,-1.8688699173073413,Ru,corner
101,-1.5646791458129652,-1.6137477470241801,Ru,facet
102,-1.773650169372548,-1.730095159349394,Ru,edge
103,-1.541788578033441,-1.5195575127758372,Ru,middle_facet
104,-1.7736515998840172,-1.730095159349394,Ru,edge
