,lse,ads_e,ads_id,system,face,atomic_number,atomic_symbol,site_info
0,0.3341159973144538,-2.0246290000000045,22,Ir116,111,77.0,Ir,middle_facet
1,1.1927814636230476,-2.513639000000012,12,Ir116,111,77.0,Ir,corner
2,0.8548603210449226,-2.3738890000000765,21,Ir116,111,77.0,Ir,edge
3,0.5816574249267585,-2.136859000000072,67,Ir116,1,77.0,Ir,facet
4,0.8666801605224617,-2.420075999999881,15,Ir201,111,77.0,Ir,edge1
5,0.8270721588134773,-2.306075999999848,142,Ir201,111,77.0,Ir,edge2
6,0.3312902603149421,-2.0425759999998263,62,Ir201,111,77.0,Ir,middle_facet
7,0.5832014236450203,-2.182775999999876,148,Ir201,1,77.0,Ir,facet
8,0.3156786117553718,-1.8490759999997408,76,Ir201,111,77.0,Ir,facet
9,1.1964411888122566,-2.4911759999997685,18,Ir201,111,77.0,Ir,corner
0,0.4659777259826656,-1.5160710000000108,67,Pd116,1,46.0,Pd,facet
1,0.9455071067810056,-1.7377810000000409,12,Pd116,111,46.0,Pd,corner
2,0.6927118873596187,-1.7247509999999693,21,Pd116,111,46.0,Pd,edge
3,0.9444232559204098,-1.663283999999976,18,Pd201,111,46.0,Pd,corner
4,0.6918941116333004,-1.602523999999903,15,Pd201,111,46.0,Pd,edge1
5,0.370029029846191,-1.474843999999962,76,Pd201,111,46.0,Pd,facet
6,0.7307792282104488,-1.6442239999998949,142,Pd201,111,46.0,Pd,edge2
7,0.4657679176330562,-1.4479039999998804,148,Pd201,1,46.0,Pd,facet
0,0.4374806823730468,-2.0192749999999933,21,Pt116,111,78.0,Pt,edge
1,0.2170188369750976,-1.7998249999999416,22,Pt116,111,78.0,Pt,middle_facet
2,0.2968480529785156,-2.0081649999999627,67,Pt116,1,78.0,Pt,facet
3,0.6686913909912109,-2.2697950000000446,12,Pt116,111,78.0,Pt,corner
4,0.1892497482299795,-1.552836999999954,76,Pt201,111,78.0,Pt,facet
5,0.2969553413391113,-1.7662370000000465,148,Pt201,1,78.0,Pt,facet
6,0.4433114471435546,-2.080936999999949,142,Pt201,111,78.0,Pt,edge2
7,0.6660363616943359,-2.0964369999999235,18,Pt201,111,78.0,Pt,corner
8,0.4408385696411132,-2.0396370000000843,15,Pt201,111,78.0,Pt,edge1
9,0.2093350830078115,-1.72423700000013,62,Pt201,111,78.0,Pt,middle_facet
0,0.5284323158264161,-1.9565959999999905,67,Rh116,1,45.0,Rh,facet
1,0.9270991744995118,-2.030886000000009,12,Rh116,111,45.0,Rh,corner
2,0.3898868026733399,-1.8658359999999448,22,Rh116,111,45.0,Rh,middle_facet
3,0.7079948844909669,-2.050646000000029,21,Rh116,111,45.0,Rh,edge
4,0.5276317062377931,-1.9512200000001485,148,Rh201,1,45.0,Rh,facet
5,0.3788146438598634,-1.938620000000128,62,Rh201,111,45.0,Rh,middle_facet
6,0.7078222694396974,-1.9467200000001408,142,Rh201,111,45.0,Rh,edge2
7,0.9256095352172852,-2.059020000000146,18,Rh201,111,45.0,Rh,corner
8,0.7083897056579591,-2.0778199999999742,15,Rh201,111,45.0,Rh,edge1
9,0.3566946449279786,-1.7951199999999972,76,Rh201,111,45.0,Rh,facet
0,0.7252098846435544,-2.298053999999979,67,Ru116,1,44.0,Ru,facet
1,1.2205216217041013,-2.0894439999999577,12,Ru116,111,44.0,Ru,corner
2,0.542342834472656,-1.970363999999904,22,Ru116,111,44.0,Ru,middle_facet
3,0.9510943222045896,-2.038663999999926,21,Ru116,111,44.0,Ru,edge
4,0.4956614303588864,-1.955682999999908,76,Ru201,111,44.0,Ru,facet
5,1.1936651992797849,-2.013883000000078,18,Ru201,111,44.0,Ru,corner
6,0.7271639633178708,-2.1132829999999103,148,Ru201,1,44.0,Ru,facet
7,1.003371887207031,-1.9402829999999085,142,Ru201,111,44.0,Ru,edge2
8,0.5285212326049802,-1.9802830000000995,62,Ru201,111,44.0,Ru,middle_facet
9,0.9311262893676756,-2.06618299999991,15,Ru201,111,44.0,Ru,edge1
