,lse,ads_e,ads_id,system,face,atomic_number,atomic_symbol,site_info
0,0.3487768325805671,-3.0306489999999826,22,Ir38,111,77.0,Ir,facet
1,1.1872434768676765,-2.762028999999984,2,Ir38,111,77.0,Ir,corner
2,0.3389845046997077,-2.189879000000019,19,Ir79,111,77.0,Ir,middle_facet
3,1.1908602867126472,-2.6092390000000023,2,Ir79,111,77.0,Ir,corner
4,0.8115415725708015,-2.3718390000000227,22,Ir79,111,77.0,Ir,edge
0,0.9303207969665525,-1.758607000000012,2,Pd38,111,46.0,Pd,corner
1,0.3524585342407222,-1.369856999999996,22,Pd38,111,46.0,Pd,facet
2,0.7245989418029781,-1.763631000000032,22,Pd79,111,46.0,Pd,edge
3,0.3581185913085933,-2.247140999999999,19,Pd79,111,46.0,Pd,middle_facet
4,0.9268794631958004,-1.689971000000014,2,Pd79,111,46.0,Pd,corner
5,0.3605170822143551,-2.199813999999946,62,Pd201,111,46.0,Pd,middle_facet
6,0.3594074821472164,-2.3247609999999668,22,Pd116,111,46.0,Pd,middle_facet
0,0.2492306175231933,-2.108530000000002,22,Pt38,111,78.0,Pt,facet
1,0.6645410003662109,-2.270809999999983,2,Pt38,111,78.0,Pt,corner
2,0.432868236541748,-2.1588050000000294,22,Pt79,111,78.0,Pt,edge
3,0.6643264236450195,-2.281704999999988,2,Pt79,111,78.0,Pt,corner
4,0.2188341560363769,-1.9755949999999984,19,Pt79,111,78.0,Pt,middle_facet
0,0.4269055786132814,-2.097171000000003,22,Rh38,111,45.0,Rh,facet
1,0.9356746139526368,-2.3754610000000014,2,Rh38,111,45.0,Rh,corner
2,0.7055711212158204,-2.1260160000000496,22,Rh79,111,45.0,Rh,edge
3,0.3919085922241212,-1.999776000000054,19,Rh79,111,45.0,Rh,middle_facet
4,0.9342441024780276,-2.1780560000000264,2,Rh79,111,45.0,Rh,corner
0,0.6017176437377927,-2.0110140000000456,22,Ru38,111,44.0,Ru,facet
1,1.2119910049438474,-2.487764000000027,2,Ru38,111,44.0,Ru,corner
2,0.999439888000488,-1.812073999999939,22,Ru79,111,44.0,Ru,edge
3,1.1798321533203122,-2.0240839999999025,2,Ru79,111,44.0,Ru,corner
4,0.5456568527221677,-1.8383440000000064,19,Ru79,111,44.0,Ru,middle_facet
