,Ead_NNP,Ead_reg,ontop_element,site_info
0,-1.843065739,-1.801852924,Ir,facet
1,-1.895982742,-2.042806557,Ir,edge
2,-1.63086319,-1.699114217,Ir,facet
3,-2.144318581,-2.292765692,Ir,corner
4,-2.034860611,-2.12508292,Ir,edge
5,-1.92971611,-2.009699634,Ir,edge
6,-1.552405834,-1.672401189,Ir,facet
7,-1.78016901,-1.794129554,Ir,facet
8,-2.17589426,-2.171281108,Ir,edge
9,-1.964545727,-2.131761765,Ir,corner
10,-1.800865173,-1.888500884,Ir,edge
11,-1.791938782,-1.829989824,Ir,facet
12,-1.74203968,-1.806488005,Ir,facet
13,-1.956599712,-2.222898066,Ir,corner
14,-1.989235401,-2.053777895,Ir,edge
15,-1.84804821,-1.826352806,Ir,facet
16,-1.680762768,-1.757952868,Ir,facet
17,-1.680864811,-1.72353176,Ir,facet
18,-2.153528214,-2.300067665,Ir,corner
19,-1.69539547,-1.691724907,Ir,facet
20,-1.951489925,-1.983622084,Ir,edge
21,-2.104555607,-2.223282117,Ir,corner
22,-2.145943642,-2.33195274,Ir,corner
23,-2.007418156,-2.063954665,Ir,edge
24,-2.106668949,-2.166949504,Ir,edge
25,-1.984298706,-2.09141727,Ir,edge
26,-1.817000389,-1.871617921,Ir,facet
27,-1.318565369,-1.470701449,Pd,edge
28,-0.904501915,-1.22058653,Pd,facet
29,-0.950709343,-1.208346609,Pd,facet
30,-1.00910759,-1.234553761,Pd,facet
31,-1.231749535,-1.355823639,Pd,edge
32,-1.123755932,-1.34530806,Pd,edge
33,-0.906509876,-1.185290635,Pd,facet
34,-0.946194172,-1.218824918,Pd,facet
35,-1.177301884,-1.356329266,Pd,edge
36,-1.193910599,-1.410614025,Pd,edge
37,-0.847873688,-1.194072638,Pd,facet
38,-0.905434132,-1.193975009,Pd,facet
39,-1.203672886,-1.399983005,Pd,corner
40,-0.944129467,-1.196516335,Pd,facet
41,-1.138031483,-1.3668178,Pd,edge
42,-1.375358105,-1.54747092,Pd,corner
43,-1.087576389,-1.288311124,Pd,edge
44,-0.888949394,-1.185177834,Pd,facet
45,-0.943227291,-1.208582436,Pd,facet
46,-1.38481617,-1.482235538,Pd,edge
47,-0.844935417,-1.187377787,Pd,facet
48,-0.981042385,-1.199794496,Pd,facet
49,-1.199140072,-1.383258411,Pd,edge
50,-1.034073353,-1.244435081,Pd,facet
51,-0.901256561,-1.181359084,Pd,facet
52,-0.996822357,-1.236352313,Pd,facet
53,-1.382077217,-1.544064125,Pd,corner
54,-1.212615967,-1.084912068,Pt,facet
55,-1.676928997,-1.564503493,Pt,corner
56,-1.446575165,-1.236653863,Pt,edge
57,-1.609507084,-1.472868982,Pt,corner
58,-1.244532585,-1.050760043,Pt,facet
59,-1.476383686,-1.304363304,Pt,corner
60,-1.235270023,-1.045476485,Pt,facet
61,-1.175321102,-1.048341175,Pt,facet
