,Ead_NNP,Ead_reg,ontop_element,struct_no,site_info
0,-1.920909882,-1.857212258,Ir,8,facet
1,-1.920902252,-1.9440167,Ir,8,edge
2,-1.700612068,-1.786939285,Ir,8,facet
3,-1.79011488,-1.716747007,Ir,8,facet
4,-2.200373173,-2.181734128,Ir,8,corner
5,-2.268755436,-2.140120071,Ir,8,edge
6,-1.676362991,-1.715026881,Ir,8,facet
7,-1.494938374,-1.505517955,Ir,8,facet
8,-1.823330402,-1.726741259,Ir,8,facet
9,-1.626128197,-1.606929606,Ir,8,facet
10,-2.144359589,-2.087859837,Ir,8,corner
11,-1.763768673,-1.699250056,Ir,8,facet
12,-1.862634182,-1.868091248,Ir,8,edge
13,-2.017905235,-2.058218653,Ir,8,corner
14,-1.844765186,-1.873285603,Ir,8,edge
15,-1.851258755,-1.816922842,Ir,8,facet
16,-1.798110962,-1.845752731,Ir,8,edge
17,-1.531976223,-1.570817335,Ir,8,facet
18,-1.911102772,-1.980347661,Ir,8,corner
19,-1.884260654,-1.826199315,Ir,8,facet
20,-1.851325512,-1.85125909,Ir,8,facet
21,-2.293861866,-2.328891395,Ir,8,corner
22,-1.928833008,-1.941792114,Ir,8,edge
23,-2.046904564,-1.941699629,Ir,8,facet
24,-1.250123501,-1.256782507,Pd,8,edge
25,-1.225318432,-1.197300407,Pd,8,edge
26,-1.379789352,-1.311880382,Pd,8,corner
27,-0.855037212,-0.874409551,Pd,8,facet
28,-0.909777164,-0.969482176,Pd,8,facet
29,-0.925432205,-0.956281153,Pd,8,facet
30,-0.96216774,-0.985705068,Pd,8,facet
31,-0.867786884,-0.941605684,Pd,8,facet
32,-1.181132793,-1.124903795,Pd,8,edge
33,-1.253634453,-1.316696775,Pd,8,corner
34,-1.155016422,-1.179460753,Pd,8,edge
35,-1.360975742,-1.371887099,Pd,8,corner
36,-1.106838226,-1.135618414,Pd,8,edge
37,-1.230783939,-1.225204265,Pd,8,edge
38,-1.312229633,-1.342775997,Pd,8,corner
39,-1.22834444,-1.242485139,Pd,8,edge
40,-1.375349998,-1.378813386,Pd,8,corner
41,-1.172775269,-1.166513281,Pd,8,edge
42,-0.877242565,-0.944953904,Pd,8,facet
43,-1.254895687,-1.213405162,Pd,8,edge
44,-1.524812222,-1.465576743,Pd,8,corner
45,-1.332487106,-1.318984587,Pd,8,corner
46,-1.522275925,-1.473739244,Pt,8,edge
47,-1.252283096,-1.202590432,Pt,8,facet
48,-1.582791328,-1.596325088,Pt,8,edge
