,Ead_NNP,Ead_reg,ontop_element,struct_no,site_info
0,-1.920909882,-1.855053143,Ir,8,facet
1,-1.920902252,-1.943916689,Ir,8,edge
2,-1.700612068,-1.788827588,Ir,8,facet
3,-1.79011488,-1.720213557,Ir,8,facet
4,-2.200373173,-2.179655241,Ir,8,corner
5,-2.268755436,-2.140591222,Ir,8,edge
6,-1.676362991,-1.71844087,Ir,8,facet
7,-1.494938374,-1.512414603,Ir,8,facet
8,-1.823330402,-1.730420462,Ir,8,facet
9,-1.626128197,-1.60083517,Ir,8,facet
10,-2.144359589,-2.088708401,Ir,8,corner
11,-1.763768673,-1.701968119,Ir,8,facet
12,-1.862634182,-1.865801295,Ir,8,edge
13,-2.017905235,-2.058845665,Ir,8,corner
14,-1.844765186,-1.871001892,Ir,8,edge
15,-1.851258755,-1.816743639,Ir,8,facet
16,-1.798110962,-1.843943101,Ir,8,edge
17,-1.531976223,-1.562978939,Ir,8,facet
18,-1.911102772,-1.980909943,Ir,8,corner
19,-1.884260654,-1.825409515,Ir,8,facet
20,-1.851325512,-1.849255251,Ir,8,facet
21,-2.293861866,-2.33682963,Ir,8,corner
22,-1.928833008,-1.941626168,Ir,8,edge
23,-2.046904564,-1.941530882,Ir,8,facet
24,-1.250123501,-1.249306814,Pd,8,edge
25,-1.225318432,-1.189499905,Pd,8,edge
26,-1.379789352,-1.315912233,Pd,8,corner
27,-0.855037212,-0.882664926,Pd,8,facet
28,-0.909777164,-0.957853555,Pd,8,facet
29,-0.925432205,-0.947007766,Pd,8,facet
30,-0.96216774,-0.973940018,Pd,8,facet
31,-0.867786884,-0.937091047,Pd,8,facet
32,-1.181132793,-1.139674581,Pd,8,edge
33,-1.253634453,-1.321633223,Pd,8,corner
34,-1.155016422,-1.176235663,Pd,8,edge
35,-1.360975742,-1.381215488,Pd,8,corner
36,-1.106838226,-1.147481709,Pd,8,edge
37,-1.230783939,-1.214691089,Pd,8,edge
38,-1.312229633,-1.351400706,Pd,8,corner
39,-1.22834444,-1.232980673,Pd,8,edge
40,-1.375349998,-1.387572704,Pd,8,corner
41,-1.172775269,-1.167606216,Pd,8,edge
42,-0.877242565,-0.939183557,Pd,8,facet
43,-1.254895687,-1.203342943,Pd,8,edge
44,-1.524812222,-1.441661505,Pd,8,corner
45,-1.332487106,-1.324330445,Pd,8,corner
46,-1.522275925,-1.476680634,Pt,8,edge
47,-1.252283096,-1.195197328,Pt,8,facet
48,-1.582791328,-1.592403813,Pt,8,edge
